Year,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci_Fi,Short,Sport,Thriller,War,Western,Year_zero_ctrd,Year_zero_ctrd_sq
1997,17.9153094462541,10.7491856677524,2.60586319218241,4.23452768729642,41.042345276873,19.2182410423453,4.23452768729642,59.6091205211726,9.12052117263844,6.84039087947883,3.58306188925081,5.86319218241042,3.90879478827362,1.62866449511401,10.0977198697068,28.9902280130293,9.12052117263844,0,1.95439739413681,23.4527687296417,2.93159609120521,0,-10,100
1998,13.4375,10.3125,3.125,4.375,42.5,20,5.9375,62.8125,8.4375,6.875,2.8125,5,6.5625,2.5,8.125,29.6875,6.875,.3125,3.125,20,3.125,1.5625,-9,81
1999,9.33734939759036,7.2289156626506,2.40963855421687,5.12048192771084,44.2771084337349,12.0481927710843,6.32530120481928,62.3493975903614,5.72289156626506,6.62650602409639,4.21686746987952,4.81927710843374,4.51807228915663,.903614457831325,7.83132530120482,26.2048192771084,6.62650602409639,.602409638554217,3.01204819277108,18.0722891566265,3.91566265060241,1.20481927710843,-8,64
2000,10.4838709677419,9.13978494623656,3.2258064516129,5.91397849462366,38.7096774193548,18.010752688172,9.67741935483871,60.752688172043,5.37634408602151,6.45161290322581,2.95698924731183,4.83870967741936,5.64516129032258,1.61290322580645,8.06451612903226,30.1075268817204,6.18279569892473,.806451612903226,2.95698924731183,17.741935483871,3.49462365591398,1.0752688172043,-7,49
2001,13.6125654450262,8.90052356020942,3.92670157068063,3.92670157068063,42.4083769633508,18.0628272251309,7.85340314136126,59.6858638743455,5.75916230366492,8.37696335078534,2.35602094240838,4.9738219895288,3.92670157068063,2.09424083769634,8.90052356020942,29.3193717277487,7.06806282722513,.261780104712042,3.1413612565445,20.4188481675393,4.71204188481675,.523560209424084,-6,36
2002,14,10.75,3.25,3.75,34.75,19.25,10.5,64.25,6.5,6,2.5,5.25,5.25,2.75,9.25,25.25,6.75,.5,3.75,22,4.75,1,-5,25
2003,14.84375,11.71875,2.34375,7.03125,40.625,16.1458333333333,13.0208333333333,57.5520833333333,8.33333333333333,6.77083333333333,4.94791666666667,5.20833333333333,5.72916666666667,2.08333333333333,5.98958333333333,26.0416666666667,4.94791666666667,.260416666666667,1.82291666666667,17.1875,3.90625,1.04166666666667,-4,16
2004,11.264367816092,8.73563218390805,2.98850574712644,7.1264367816092,37.2413793103448,12.4137931034483,15.8620689655172,56.3218390804598,7.58620689655172,6.4367816091954,4.82758620689655,6.4367816091954,6.20689655172414,1.83908045977011,8.50574712643678,28.5057471264368,5.51724137931035,.459770114942529,4.36781609195402,18.3908045977011,4.59770114942529,.689655172413793,-3,9
2005,10.561797752809,10.7865168539326,2.24719101123596,7.19101123595506,36.1797752808989,13.9325842696629,15.9550561797753,58.4269662921348,8.08988764044944,6.74157303370786,4.49438202247191,7.19101123595506,7.19101123595506,2.92134831460674,9.21348314606742,24.7191011235955,4.71910112359551,.449438202247191,5.84269662921348,18.4269662921348,3.82022471910112,.674157303370787,-2,4
2006,9.78473581213307,9.19765166340509,3.91389432485323,5.87084148727984,33.8551859099804,12.9158512720157,17.8082191780822,53.4246575342466,7.82778864970646,6.84931506849315,5.0880626223092,6.65362035225049,7.6320939334638,1.76125244618395,6.45792563600783,21.5264187866928,5.47945205479452,.391389432485323,4.69667318982387,18.5909980430528,3.71819960861057,.587084148727984,-1,1
2007,10.0409836065574,8.60655737704918,3.48360655737705,7.37704918032787,30.1229508196721,16.3934426229508,16.1885245901639,56.5573770491803,8.40163934426229,7.58196721311475,5.5327868852459,9.01639344262295,7.58196721311475,2.25409836065574,7.78688524590164,22.1311475409836,4.50819672131148,.204918032786885,5.32786885245902,22.3360655737705,6.14754098360656,1.22950819672131,0,0
2008,12.5,11.2903225806452,3.83064516129032,8.26612903225806,30.6451612903226,12.0967741935484,18.3467741935484,57.258064516129,7.86290322580645,6.85483870967742,4.23387096774194,5.64516129032258,5.84677419354839,1.41129032258065,6.45161290322581,23.5887096774194,5.44354838709677,.403225806451613,4.63709677419355,16.3306451612903,5.24193548387097,.604838709677419,1,1
2009,11.228813559322,9.95762711864407,4.23728813559322,6.77966101694915,33.4745762711864,12.9237288135593,17.5847457627119,55.0847457627119,6.99152542372881,7.83898305084746,2.54237288135593,8.6864406779661,6.14406779661017,1.27118644067797,8.47457627118644,21.1864406779661,7.83898305084746,.211864406779661,2.96610169491525,18.2203389830508,2.11864406779661,.211864406779661,2,4
2010,13.9689578713969,10.8647450110865,3.10421286031042,10.19955654102,31.7073170731707,12.860310421286,20.3991130820399,54.7671840354767,8.2039911308204,9.97782705099778,6.87361419068736,6.65188470066519,5.32150776053215,.665188470066519,6.87361419068736,22.8381374722838,4.21286031042129,0,2.88248337028825,18.1818181818182,2.21729490022173,1.33037694013304,3,9
2011,15.5601659751037,11.2033195020747,3.94190871369295,8.50622406639004,31.9502074688797,11.4107883817427,20.954356846473,53.1120331950208,7.26141078838174,7.05394190871369,4.35684647302905,6.63900414937759,5.60165975103734,1.2448132780083,7.05394190871369,19.0871369294606,7.05394190871369,.20746887966805,2.9045643153527,19.7095435684647,2.9045643153527,1.03734439834025,4,16
2012,13.7651821862348,9.91902834008097,2.63157894736842,7.89473684210526,30.7692307692308,11.1336032388664,21.4574898785425,50.4048582995951,3.84615384615385,6.47773279352227,6.07287449392713,9.51417004048583,5.46558704453441,.809716599190283,5.66801619433198,17.6113360323887,5.66801619433198,0,2.42914979757085,18.8259109311741,2.83400809716599,.809716599190283,5,25
2013,13.9359698681733,11.6760828625235,3.76647834274953,12.6177024482109,25.9887005649718,13.3709981167608,20.15065913371,57.4387947269303,4.70809792843691,6.96798493408663,6.21468926553672,8.47457627118644,4.89642184557439,1.12994350282486,6.21468926553672,16.3841807909605,8.09792843691149,0,2.63653483992467,21.0922787193974,3.57815442561205,.564971751412429,6,36
2014,14.2307692307692,12.1153846153846,3.65384615384615,13.0769230769231,30.1923076923077,12.6923076923077,17.3076923076923,58.2692307692308,6.15384615384615,6.53846153846154,7.11538461538462,8.07692307692308,5.57692307692308,1.73076923076923,8.46153846153846,18.6538461538462,6.34615384615385,.192307692307692,2.88461538461538,20.1923076923077,3.84615384615385,1.53846153846154,7,49
2015,17.7829099307159,13.6258660508083,4.6189376443418,13.6258660508083,30.715935334873,11.3163972286374,19.1685912240185,60.7390300230947,6.46651270207852,7.39030023094688,8.54503464203233,6.46651270207852,5.54272517321016,1.38568129330254,7.85219399538106,15.7043879907621,7.62124711316397,0,2.77136258660508,18.9376443418014,3.46420323325635,.92378752886836,8,64
2016,21.4128035320088,14.7902869757174,5.96026490066225,14.7902869757174,27.5938189845475,13.0242825607064,19.4260485651214,56.5121412803532,7.06401766004415,8.38852097130243,9.93377483443709,7.94701986754967,5.51876379690949,1.1037527593819,7.72626931567329,13.9072847682119,8.16777041942605,0,3.09050772626932,23.3995584988962,2.86975717439294,.883002207505519,9,81
2017,18.8888888888889,13.6111111111111,5.55555555555556,12.2222222222222,25.2777777777778,12.2222222222222,17.7777777777778,58.6111111111111,6.38888888888889,10.8333333333333,6.94444444444444,8.33333333333333,5.55555555555556,1.94444444444444,9.44444444444444,13.3333333333333,8.61111111111111,0,1.94444444444444,20.5555555555556,5.83333333333333,1.38888888888889,10,100
